Model,Epochs,Learning Rate,Accuracy,Parameters,Time[min],MixUp,DA
PreActResNet18, 5, 0.001, 50.48, 11217316, 5.269633861382802, True, True
PreActResNet18, 10, 0.001, 61.67, 11217316, 9.777570621172588, True, True
PreActResNet18, 25, 0.001, 74.9, 11217316, 23.246575899918874, True, True
PreActResNet18, 50, 0.001, 82.51, 11217316, 56.794757560888925, True, True
PreActResNet18, 100, 0.001, 87.48, 11217316, 123.3185450275739, True, True
PreActResNet18, 50, 0.005, 89.79, 11217316, 50.23892415761948, True, True
PreActResNet18, 50, 0.01, 91.1, 11217316, 181.40924318234127, True, True
PreActResNet18, 50, 0.05, 92.39, 11217316, 46.207732089360555, True, True
PreActResNet18, 50, 0.1, 92.37, 11217316, 46.58082070350647, True, True
PreActResNet18, 50, 0.5, 10.0, 11217316, 46.38922616640727, True, True
PreActResNet18, 50, 0.03, 91.75, 11217316, 110.57292828162511, True, True
PreActResNet18, 50, 0.04, 91.79, 11217316, 110.72222892840703, True, True
PreActResNet18, 50, 0.05, 92.18, 11217316, 109.76885475317637, True, True
PreActResNet18, 50, 0.06, 92.3, 11217316, 110.72530930042267, True, True
PreActResNet18, 50, 0.07, 92.39, 11217316, 110.49870720307032, True, True
PreActResNet18, 100, 0.08, 94.04, 11217316, 220.87641269365946, True, True
PreActResNet18, 50, 0.05, 92.42, 11217316, 42.21980551481247, False, False
PreActResNet18, 50, 0.05, 91.79, 11217316, 51.51319569349289, True, True
PreActResNet18, 50, 0.05, 92.28, 11217316, 41.907856873671214, False, False
PreActResNet18, 50, 0.05, 90.62, 4946596, 26.984567495187125, False, False
PreActResNet18, 50, 0.05, 90.16, 4946596, 34.558860476811724, True, True
